IPC_Mexico,USD_MXN
-0.00033129,0.00267037
-0.00252697,-0.00326791
-0.00120695,-0.00618604
0.00812819,-0.00023874
0.01443745,0.00097355
0.00656497,-0.00345934
-0.00177762,-0.00783225
0.00978025,0.00086791
-0.00853540,0.00103092
-0.01277225,-0.00133939
0.00383538,-0.00107087
-0.00568026,0.00292054
0.00788201,0.00011546
0.00317750,-0.00075093
0.00738392,-0.00595019
0.00599332,0.00030024
0.00433147,-0.00241451
-0.01066669,0.00342135
-0.00454849,-0.00236370
-0.00141502,0.00012606
0.00879798,-0.00243695
-0.01835276,0.00483901
-0.00694630,0.00079292
-0.00111820,0.00717561
-0.01475707,0.00129481
0.00095858,-0.00701182
-0.00203515,-0.00215475
-0.00195172,-0.00258605
-0.01423097,-0.00000971
-0.01031728,-0.00128096
0.00772682,0.00087356
-0.01058964,-0.00340151
-0.00233569,0.00475889
-0.00588637,-0.00583040
0.00944027,0.00136345
-0.01257474,0.00170171
